ort,zusatz,bundesland,plz,lat,lon
Anderbeck,,Sachsen-Anhalt,38836,52.00893,10.86441
Anderlingen,,Niedersachsen,27446,53.39969,9.25824
Andernach,,Rheinland-Pfalz,56626,50.43685,7.35334
Andervenne,,Niedersachsen,49832,52.48427,7.53764
Andisleben,,Thüringen,99189,51.04516,10.95031
Andrichstadt,,Bayern,83364,47.83296,12.74977
Angelbachtal,,Baden-Württemberg,74918,49.22546,8.77173
Angelburg,Hess,Hessen,35719,50.80679,8.4331
Angelhof I u. II,,Rheinland-Pfalz,67346,49.32722,8.43522
Angelroda,,Thüringen,99338,50.77744,10.90178
Anger,Gem Frauenneuharting,Bayern,83565,48.02156,12.03508
Anger,b Bad Reichenhall,Bayern,83454,47.80135,12.86519
Angermünde,,Brandenburg,16278,53.04259,13.98426
Angern,b Wolmirstedt,Sachsen-Anhalt,39326,52.27958,11.62463
Angersdorf,"b Halle, Saale",Sachsen-Anhalt,06179,51.45646,11.81881
Angl,b Wörnsmühl,Bayern,83739,51.16569,10.45153
Anhausen,Kr Neuwied,Rheinland-Pfalz,56584,50.49809,7.55319
